Id,SalePrice
1461,125305.83
1462,158284.94
1463,185293.83
1464,192078.88
1465,182537.88
1466,175058.75
1467,172687.08
1468,168047.88
1469,180333.31
1470,123648.516
1471,197754.94
1472,96941.06
1473,99100.28
1474,151650.5
1475,131175.98
1476,384947.78
1477,253056.72
1478,284199.97
1479,260325.34
1480,532514.1
1481,320038.88
1482,205724.25
1483,170593.03
1484,167818.05
1485,171857.4
1486,192765.56
1487,352288.72
1488,235593.72
1489,206328.62
1490,208559.78
1491,186249.81
1492,91283.72
1493,188126.92
1494,290532.6
1495,284413.38
1496,245424.9
1497,183950.94
1498,160052.89
1499,159620.28
1500,156129.2
1501,179995.69
1502,154474.4
1503,279965.75
1504,235286.77
1505,227098.88
1506,176050.4
1507,231994.03
1508,200752.9
1509,164626.12
1510,148305.42
1511,144946.19
1512,164656.44
1513,140497.22
1514,158304.72
1515,188717.58
1516,166919.88
1517,157467.53
1518,128496.07
1519,223270.97
1520,135991.81
1521,136118.06
1522,165724.22
1523,115494.87
1524,123838.875
1525,126598.41
1526,114657.73
1527,100250.58
1528,131941.44
1529,150641.34
1530,176465.6
1531,103711.84
1532,97876.34
1533,138533.66
1534,120011.32
1535,151826.75
1536,111411.58
1537,63858.934
1538,164125.6
1539,195979.8
1540,96816.516
1541,141743.73
1542,138231.56
1543,227502.06
1544,74140.086
1545,103494.375
1546,123903.13
1547,131622.97
1548,133147.6
1549,118130.76
1550,144850.42
1551,109297.1
1552,129124.54
1553,148007.02
1554,114464.02
1555,161359.45
1556,85143.83
1557,102330.48
1558,89044.61
1559,82412.67
1560,141504.39
1561,144594.81
1562,129360.945
1563,120864.15
1564,154522.44
1565,147904.84
1566,227399.47
1567,68547.89
1568,222138.3
1569,139392.95
1570,129449.92
1571,112186.5
1572,145720.97
1573,245379.75
1574,109848.01
1575,214729.22
1576,230794.88
1577,195952.5
1578,151759.3
1579,142113.25
1580,185014.31
1581,146305.27
1582,127418.55
1583,324875.16
1584,232771.69
1585,141798.08
1586,65950.06
1587,97119.75
1588,150714.62
1589,88780.14
1590,134697.2
1591,100021.86
1592,118712.945
1593,129141.414
1594,120605.54
1595,113112.555
1596,251222.97
1597,185683.89
1598,201089.75
1599,177891.53
1600,171777.77
1601,67726.92
1602,112353.52
1603,79636.56
1604,273582.06
1605,242357.5
1606,175864.97
1607,158026.27
1608,207495.81
1609,188276.25
1610,154678.28
1611,137452.94
1612,160888.62
1613,160822.06
1614,123617.04
1615,84225.01
1616,71756.21
1617,87385.625
1618,128668.98
1619,141305.34
1620,150221.84
1621,142022.33
1622,135686.34
1623,278420.38
1624,213479.81
1625,123427.14
1626,164801.44
1627,186383.44
1628,279881.94
1629,177379.75
1630,371451.12
1631,213060.42
1632,235374.3
1633,167242.39
1634,184502.28
1635,182262.16
1636,156523.23
1637,188055.7
1638,201455.81
1639,174704.02
1640,256012.58
1641,171065.64
1642,225945.48
1643,226341.67
1644,223226.9
1645,180034.31
1646,158342.31
1647,156811.75
1648,135940.98
1649,142025.86
1650,112117.62
1651,122359.914
1652,95241.266
